"","Facility Type","Base Capacity","CAV Percentage","CAF","Adjusted Capacity"
"1","Freeway",2400,50,1.1,2640
"2","Merge",1800,50,1.12,2016
"3","Diverge",1900,50,1.28666666666667,2444.66666666667
"4","Freeway",1700,40,1.27,2159
"5","Merge",2300,40,1.07,2461
"6","Diverge",2350,30,1.05166666666667,2471.41666666667
"7","Freeway",2250,20,1.02,2295
"8","Freeway",1790,20,1.15,2058.5
"9","Freeway",1650,10,1.08,1782
"10","Freeway",1250,10,1.08,1350
"11","Freeway",1350,20,1.15,1552.5
"12","Freeway",1775,50,1.34,2378.5
"13","Freeway",1335,20,1.15,1535.25
"14","Freeway",1850,20,1.12833333333333,2087.41666666667
"15","Freeway",1650,10,1.08,1782
"16","Freeway",1550,0,1,1550
"17","Freeway",1450,10,1.08,1566
"18","Freeway",1200,20,1.15,1380
"19","Freeway",1550,40,1.27,1968.5
"20","Freeway",1300,30,1.21,1573
"21","Freeway",1250,20,1.15,1437.5
"22","Freeway",1100,20,1.15,1265
"23","Freeway",1250,20,1.15,1437.5
"24","Freeway",1750,20,1.15,2012.5
"25","Freeway",1950,0,1,1950
"26","Freeway",2250,0,1,2250
"27","Freeway",2350,30,1.05166666666667,2471.41666666667
"28","Freeway",2450,40,1.07,2621.5
