CAV_percentage,Facility Type,Intervehicle Gap,Max Platoon,CAV Interplatoon Gap,Base Capacity,CAF
0,Freeway,0.71,10,2,2400,1.00
10,Freeway,0.71,10,2,2400,1.01
20,Freeway,0.71,10,2,2400,1.02
30,Freeway,0.71,10,2,2400,1.05
40,Freeway,0.71,10,2,2400,1.07
50,Freeway,0.71,10,2,2400,1.10
60,Freeway,0.71,10,2,2400,1.13
70,Freeway,0.71,10,2,2400,1.18
80,Freeway,0.71,10,2,2400,1.22
90,Freeway,0.71,10,2,2400,1.29
100,Freeway,0.71,10,2,2400,1.35
0,Freeway,0.71,10,2,2100,1.00
10,Freeway,0.71,10,2,2100,1.01
20,Freeway,0.71,10,2,2100,1.02
30,Freeway,0.71,10,2,2100,1.06
40,Freeway,0.71,10,2,2100,1.10
50,Freeway,0.71,10,2,2100,1.18
60,Freeway,0.71,10,2,2100,1.25
70,Freeway,0.71,10,2,2100,1.31
80,Freeway,0.71,10,2,2100,1.37
90,Freeway,0.71,10,2,2100,1.45
100,Freeway,0.71,10,2,2100,1.53
0,Freeway,0.71,10,2,1800,1.00
10,Freeway,0.71,10,2,1800,1.08
20,Freeway,0.71,10,2,1800,1.15
30,Freeway,0.71,10,2,1800,1.21
40,Freeway,0.71,10,2,1800,1.27
50,Freeway,0.71,10,2,1800,1.34
60,Freeway,0.71,10,2,1800,1.40
70,Freeway,0.71,10,2,1800,1.50
80,Freeway,0.71,10,2,1800,1.60
90,Freeway,0.71,10,2,1800,1.71
100,Freeway,0.71,10,2,1800,1.82
0,Diverge,0.71,10,2,2400,1.00
10,Diverge,0.71,10,2,2400,1.01
20,Diverge,0.71,10,2,2400,1.02
30,Diverge,0.71,10,2,2400,1.05
40,Diverge,0.71,10,2,2400,1.07
50,Diverge,0.71,10,2,2400,1.10
60,Diverge,0.71,10,2,2400,1.13
70,Diverge,0.71,10,2,2400,1.18
80,Diverge,0.71,10,2,2400,1.22
90,Diverge,0.71,10,2,2400,1.29
100,Diverge,0.71,10,2,2400,1.35
0,Diverge,0.71,10,2,2100,1.00
10,Diverge,0.71,10,2,2100,1.01
20,Diverge,0.71,10,2,2100,1.02
30,Diverge,0.71,10,2,2100,1.06
40,Diverge,0.71,10,2,2100,1.10
50,Diverge,0.71,10,2,2100,1.18
60,Diverge,0.71,10,2,2100,1.25
70,Diverge,0.71,10,2,2100,1.31
80,Diverge,0.71,10,2,2100,1.37
90,Diverge,0.71,10,2,2100,1.45
100,Diverge,0.71,10,2,2100,1.53
0,Diverge,0.71,10,2,1800,1.00
10,Diverge,0.71,10,2,1800,1.08
20,Diverge,0.71,10,2,1800,1.15
30,Diverge,0.71,10,2,1800,1.21
40,Diverge,0.71,10,2,1800,1.27
50,Diverge,0.71,10,2,1800,1.34
60,Diverge,0.71,10,2,1800,1.40
70,Diverge,0.71,10,2,1800,1.50
80,Diverge,0.71,10,2,1800,1.60
90,Diverge,0.71,10,2,1800,1.71
100,Diverge,0.71,10,2,1800,1.82
0,Merge,0.71,10,2,2200,1.00
10,Merge,0.71,10,2,2200,1.01
20,Merge,0.71,10,2,2200,1.02
30,Merge,0.71,10,2,2200,1.05
40,Merge,0.71,10,2,2200,1.07
50,Merge,0.71,10,2,2200,1.12
60,Merge,0.71,10,2,2200,1.16
70,Merge,0.71,10,2,2200,1.25
80,Merge,0.71,10,2,2200,1.33
90,Merge,0.71,10,2,2200,1.41
100,Merge,0.71,10,2,2200,1.49
