"","Facility Type","Base Capacity","CAV Percentage","CAF","AV Market Penetration Adjusted Capacity","PCE","AV Market Penetration and PCE Adjusted Capacity","ZOV Percentage","ZOV CAF","ZOV and AV Market Penetration Adjusted Capacity","ZOV, PCE, and AV Market Penetration Adjusted Capacity"
"1","Freeway",2400,50,1.1,2640,0.8,3300,10,1.05,2520,3150
"2","Merge",1800,50,1.12,2016,0.9,2240,10,1.06,1908,2120
"3","Diverge",1900,50,1.28666666666667,2445,0.9,2717,10,1.22,2318,2576
"4","Freeway",1700,40,1.27,2159,0.8,2699,10,1.21,2057,2571
"5","Merge",2300,40,1.07,2461,0.9,2734,10,1.02,2346,2607
"6","Diverge",2350,30,1.05166666666667,2471,0.9,2746,10,1.00166666666667,2354,2616
"7","Freeway",2250,20,1.02,2295,0.8,2869,10,0.97,2182,2728
"8","Freeway",1790,20,1.15,2058,0.8,2572,10,1.09,1951,2439
"9","Freeway",1650,10,1.08,1782,0.8,2228,10,1.03,1700,2125
"10","Freeway",1650,10,1.08,1782,0.8,2228,10,1.03,1700,2125
"11","Freeway",1250,10,1.08,1350,0.8,1688,10,1.03,1288,1610
"12","Freeway",1350,20,1.15,1552,0.8,1940,10,1.09,1472,1840
"13","Freeway",1775,50,1.34,2378,0.8,2972,10,1.27,2254,2818
"14","Freeway",1335,20,1.15,1535,0.8,1919,10,1.09,1455,1819
"15","Freeway",1850,20,1.12833333333333,2087,0.8,2609,10,1.07,1980,2475
"16","Freeway",1650,10,1.08,1782,0.8,2228,10,1.03,1700,2125
"17","Freeway",1650,10,1.08,1782,0.8,2228,10,1.03,1700,2125
"18","Freeway",1550,0,1,1550,0.8,1938,10,0.95,1472,1840
"19","Freeway",1450,10,1.08,1566,0.8,1958,10,1.03,1494,1868
"20","Freeway",1200,20,1.15,1380,0.8,1725,10,1.09,1308,1635
"21","Freeway",1550,40,1.27,1968,0.8,2460,10,1.21,1876,2345
"22","Freeway",1300,30,1.21,1573,0.8,1966,10,1.15,1495,1869
"23","Freeway",1250,20,1.15,1438,0.8,1798,10,1.09,1362,1702
"24","Freeway",1250,20,1.15,1438,0.8,1798,10,1.09,1362,1702
"25","Freeway",1100,20,1.15,1265,0.8,1581,10,1.09,1199,1499
"26","Freeway",1250,20,1.15,1438,0.8,1798,10,1.09,1362,1702
"27","Freeway",1250,20,1.15,1438,0.8,1798,10,1.09,1362,1702
"28","Freeway",1750,20,1.15,2012,0.8,2515,10,1.09,1908,2385
"29","Freeway",1950,0,1,1950,0.8,2438,10,0.95,1852,2315
"30","Freeway",2250,0,1,2250,0.8,2812,10,0.95,2138,2672
"31","Freeway",2350,30,1.05166666666667,2471,0.8,3089,10,1.00166666666667,2354,2942
"32","Freeway",2450,40,1.07,2622,0.8,3278,10,1.02,2499,3124
